Date,Open,High,Low,Close,Volume
,MEDC.JK,MEDC.JK,MEDC.JK,MEDC.JK,MEDC.JK
2021-04-13,483.7325023549848,483.7325023549848,471.1133935978982,475.31976318359375,17371600
2021-04-14,483.7325642026704,487.9389343261719,475.3198239556674,487.9389343261719,14964900
2021-04-15,500.5580446966763,504.7644148201778,483.7325642026704,487.9389343261719,22801200
2021-04-16,487.93891389266304,496.3516537873641,483.7325439453125,483.7325439453125,16677600
2021-04-19,483.7325023549848,487.93887194068026,475.31976318359375,475.31976318359375,16503300
2021-04-20,475.31978379634387,483.7325233325623,475.31978379634387,479.5261535644531,14929000
2021-04-21,475.31981404622394,479.5261840820312,466.9070739746093,466.9070739746094,20266100
2021-04-22,466.90704426012536,487.9388931006716,466.90704426012536,479.5261535644531,55682400
2021-04-23,483.73251544542546,517.383473041629,471.11340634684916,508.9707336425781,100496700
2021-04-26,513.1770202636719,521.5897583007812,500.55791320800785,504.7642822265625,34338100
2021-04-27,504.76437299679486,508.97074277176813,487.9388938969017,492.145263671875,37435300
2021-04-28,504.764434070122,521.5899152057927,496.3516935022866,517.383544921875,60294700
2021-04-29,525.7962134576613,534.2089528729839,508.97073462701616,521.58984375,85095200
2021-04-30,534.2090331120278,576.2727365066756,521.5899220936334,563.6536254882812,214772800
2021-05-03,563.6535947479471,580.4790751881843,555.2408545278284,576.272705078125,98381400
2021-05-04,584.6853447230994,597.3044528825908,576.2726059501052,593.0980834960938,80866500
2021-05-05,597.3045346925585,605.7172746178057,576.2726848794402,584.6854248046875,85657000
2021-05-06,584.6854771856052,584.6854771856052,563.6536254882812,563.6536254882812,46623900
2021-05-07,563.6535255321558,593.0981126868206,563.6535255321558,580.47900390625,55849600
2021-05-10,593.0981152852377,614.1299633449978,593.0981152852377,605.7172241210938,178640000
2021-05-11,601.5108545091417,614.1299633449978,588.8917456732856,605.7172241210938,56591800
2021-05-17,601.510822269088,614.1299304285793,584.6853447230994,593.0980834960938,52789300
2021-05-18,601.5108385587993,647.7809030633223,601.5108385587993,639.3681640625,169441900
2021-05-19,635.1618338919974,656.1936826963682,622.542724609375,622.542724609375,117013400
2021-05-20,622.5426828044734,635.1617912396993,609.9235743692476,614.1299438476562,77309800
2021-05-21,622.5427544683004,626.749124430924,576.2726848794402,584.6854248046875,73117200
2021-05-24,588.8918366608796,609.9236879701967,551.0345043041087,567.8599853515625,87428300
2021-05-25,576.2726368374294,609.9235937330458,576.2726368374294,605.7172241210938,93843000
2021-05-27,609.9235910609149,618.336330247962,580.47900390625,580.47900390625,63701500
2021-05-28,597.3044388714959,601.5108081593232,572.0662231445312,572.0662231445312,34486000
2021-05-31,580.47900390625,588.8917430932971,576.2726343127265,580.47900390625,22678500
2021-06-02,572.0663149168165,593.0981647299349,563.6535749915693,584.6854248046875,76209000
2021-06-03,593.0981647299349,597.3045346925585,576.2726848794402,584.6854248046875,61365700
2021-06-04,576.2726848794402,584.6854248046875,567.8599449541929,584.6854248046875,47713900
2021-06-07,588.891700295841,593.0980695836685,572.0662231445312,572.0662231445312,34423800
2021-06-08,576.2727365066756,576.2727365066756,559.4472551488165,563.6536254882812,25056600
2021-06-09,567.8598795851616,622.5426828044734,567.8598795851616,614.1299438476562,119686200
2021-06-10,614.1300149851833,626.7491248821391,597.3045351225754,609.9236450195312,66370800
2021-06-11,618.3363037109375,635.1617813629358,605.7171954719388,618.3363037109375,52683400
2021-06-14,622.542705078125,639.36818359375,614.1299658203126,630.9554443359375,57010800
2021-06-15,630.9554119499362,635.1617813629358,605.7171954719388,618.3363037109375,23435900
2021-06-16,622.542724609375,630.9554641311232,605.7172455658783,622.542724609375,51823300
2021-06-17,614.1299633449978,622.5427025689019,597.3044848971897,605.7172241210938,21928400
2021-06-18,597.3045882039995,597.3045882039995,563.6536254882812,563.6536254882812,89011800
2021-06-21,555.2408848093517,572.0663661672108,538.4154034514926,563.6536254882812,30427100
